filename,type,title,artist,techniques,Soul Score,lyrics,rhythm,instrument
AP_F05_08452.json,Instrumental,웃다리풍물,,0,0.0,,,꽹과리
AP_F08_01788.json,Vocal,판소리 춘향가,이주은,2,0.33,방자분 부 듣고 춘향부르러 건너간다,자진모리,여성성악
BP_FS2_02878.json,Instrumental,신시나위1-거리,,3,0.36,,굿거리,피리
AP_F05_07932.json,Instrumental,웃다리풍물 (지금풍류),,0,0.0,,휘모리,꽹과리
AP_E01_03812.json,Instrumental,영산회상 타령(지금풍류),황진아,9,0.39,,,거문고
AP_E01_02568.json,Instrumental,평조회상 상령산(지금풍류),김대곤,6,0.23,,,대금
AP_F02_07221.json,Instrumental,서용석류 대금산조 중모리,김상연,13,0.62,,중모리,대금
AP_E01_03613.json,Instrumental,영산회상 상령산(지금풍류),김대곤,10,0.42,,,대금
BP_CR2_01421.json,Vocal,수지니 날지니,장명서,1,0.16,두근거리는 마음을 잡고 숨 한 번 쉬고 매만지고,,여성성악
AP_E01_06964.json,Instrumental,세령산 (피리정악 영산회상),이호진,5,0.24,,,피리
AP_E01_03027.json,Instrumental,평조회상 상현도드리(지금풍류),정겨운,1,0.06,,,해금
BP_CR2_00026.json,Instrumental,인공위성(Satellite),최지윤,5,0.31,,휘모리,해금
AP_F07_06318.json,Vocal,국문뒤풀이,전병훈,1,0.09,사자고 굳은 언약언약이 지중치 못하였구나,굿거리,남성성악
AP_F05_07893.json,Instrumental,웃다리풍물 (지금풍류),,0,0.0,,,꽹과리
AP_E01_03336.json,Instrumental,평조회상 상현도드리(성음지교3),진윤경,9,0.41,,,피리
AM_F06_06231.json,Vocal,손치기 발치기 (mbc),조공례,5,0.3,손치기 손치기 손으로 친다고 손치기 살치기 살치기 살으로 친다고 살치기 발치기 발치기발로 친다고 발치기 남산에 북산에 백여 시 소금 장시연엽이,휘모리,여성성악
AP_E01_03011.json,Instrumental,평조회상 상현도드리(지금풍류),공유림,2,0.26,,,가야금
AP_F07_06459.json,Vocal,담바귀타령,전병훈,4,0.27,저기저기 저산 밑을 슬슬 갈아엎어놓고 담바구씨를 훌훌 뿌려,굿거리,남성성악
BP_CR2_00724.json,Instrumental,처용 (노올량),민소윤,2,0.2,,굿거리,대금
AM_F06_07083.json,Vocal,사철가 (전병훈),전병훈,9,0.3,지화지화지화자 좋네 좋네 좋좋을 씨구나 명년 춘삼월에 화전놀일가자,굿거리,남성성악
AP_C04_07593.json,Instrumental,여민락령,이신애,0,0.0,,,아쟁
AP_E01_03534.json,Instrumental,영산회상 중령산(지금풍류),황진아,1,0.05,,,거문고
AP_C11_01559.json,Vocal,사선무,조일하,1,0.16,해동금일,,여성성악
AP_F05_08579.json,Instrumental,삼도농악가락,,0,0.0,,,북
AP_F07_06503.json,Instrumental,바위타령 Part 1,,0,0.0,,,장구
AP_E01_03031.json,Instrumental,평조회상 상현도드리(지금풍류),정겨운,1,0.11,,,해금
BP_CR2_01933.json,Instrumental,짜증가,민소윤,4,0.37,,굿거리,대금
AP_F06_04415.json,Vocal,이타령 2 (mbc),박병련,0,0.0,춘아춘아 강감춘 아새기동동 잘키와라,자진모리,여성성악
AP_E01_02484.json,Instrumental,평조회상 세령산(지금풍류) 피리,박지영,5,0.29,,,피리
AP_C09_02206.json,Instrumental,취타(지금풍류),정겨운,1,0.2,,,해금
AP_F06_04560.json,Vocal,시집살이노래 - 사촌성님 4 (mbc) ,김옥순,1,0.14,성님 성님 사춘성님시집살이어떱디까,,여성성악
AM_F06_06107.json,Vocal,타복녀 (mbc),진분이,8,0.49,따복 따복 따복 네 야 너울면서 어디 가나 울어 머니 무덤 앞에 젖 먹으러 나는 가요,,여성성악
